,Building,Orientation,BlindType,Shading,WindowID,Occlusion,Floor,WindowSize,WindowVLT,BlindVLT,WindowBlindVLT,OfficeUse,Date_Time,WWR,View Quality,Sky Condition,Irradiance,Month
1816,A,Northeast,Louver,NonShaded,1,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 09:00:00,0.41,7.0,Unknown,51.389,5
0,A,Northeast,Louver,NonShaded,1,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 11:00:00,0.41,7.0,Unknown,74.3344,5
458,A,Northeast,Louver,NonShaded,1,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 13:00:00,0.41,7.0,Unknown,106.5319,5
910,A,Northeast,Louver,NonShaded,1,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 15:00:00,0.41,7.0,Unknown,92.6123,5
1363,A,Northeast,Louver,NonShaded,1,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 17:00:00,0.41,7.0,Unknown,82.5457,5
2705,A,Northeast,Louver,NonShaded,1,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 09:00:00,0.41,7.0,CLR,12.443,10
3190,A,Northeast,Louver,NonShaded,1,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 11:00:00,0.41,7.0,CLR,47.0302,10
3676,A,Northeast,Louver,NonShaded,1,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 13:00:00,0.41,7.0,CLR,63.5929,10
4162,A,Northeast,Louver,NonShaded,1,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 15:00:00,0.41,7.0,CLR,55.382,10
4648,A,Northeast,Louver,NonShaded,1,0.0,11,20.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 17:00:00,0.41,7.0,CLR,17.5325,10
1817,A,Northeast,Louver,NonShaded,2,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 09:00:00,0.41,7.0,Unknown,51.389,5
1,A,Northeast,Louver,NonShaded,2,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 11:00:00,0.41,7.0,Unknown,74.3344,5
459,A,Northeast,Louver,NonShaded,2,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 13:00:00,0.41,7.0,Unknown,106.5319,5
911,A,Northeast,Louver,NonShaded,2,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 15:00:00,0.41,7.0,Unknown,92.6123,5
1364,A,Northeast,Louver,NonShaded,2,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-05-15 17:00:00,0.41,7.0,Unknown,82.5457,5
2706,A,Northeast,Louver,NonShaded,2,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 09:00:00,0.41,7.0,CLR,12.443,10
3191,A,Northeast,Louver,NonShaded,2,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 11:00:00,0.41,7.0,CLR,47.0302,10
3677,A,Northeast,Louver,NonShaded,2,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 13:00:00,0.41,7.0,CLR,63.5929,10
4163,A,Northeast,Louver,NonShaded,2,0.0,11,10.0,0.538,0.036,0.02,PrivateOffice,2019-10-30 15:00:00,0.41,7.0,CLR,55.382,10
